subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Operating Systems,Operating System (Examveda),You should choose Sleep option when,The computer is tired after working for the whole day,You are leaving for a very short time and want to resume you work shortly,When computer gets hanged frequently. Let it sleep for some time,You finish working and going to bed,B,"Sleep mode, sometimes called standby or suspend mode, is a power-sparing state that a computer can enter when not in use. The computer's state is maintained in RAM (random access memory). A computer usually wakes from sleep mode through touching a key, clicking the mouse or pressing the power button.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=3,
Operating Systems,Operating System (Examveda),The ..... displays the name of every computer user on the computer,Wish list screen,Command screen,Welcome screen,None of the above,C,Welcome screen displays the name of every computer user on the computer display screen (Computer Monitor).,medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=3,
Operating Systems,Operating System (Examveda),The category of software most appropriate for controlling the design and layout of complex document like newsletters and brochure is:,Word processing,Computer aided design,Web page authoring,Desktop publishing,A,The category of software most appropriate for controlling the design and layout of complex document like newsletters and brochure is Word processing.,medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=3,
Operating Systems,Operating System (Examveda),Which one is not a system tool?,Backup,Disk defragment,Virus scanning,All of the above,C,"Virus scanning is not a system tool as tools such as disk defragmenter, backup, et cetera assist in system maintenance. It does basic maintenance to keep system running smoothly. 

 
 
 
 



 
 
 
 
 
 
 
 
 
 
 
 
 
1
2
3
4
5
6
7
8
9
10

 
 
 
 
 
 
 
 
 Read More Section(Operating System)
 Each Section contains maximum 100 MCQs question on Operating System. To get more questions visit other sections.
 
 Operating System - Section 2
 Operating System - Section 3
 Operating System - Section 4
 Operating System - Section 5
 Operating System - Section 6
 
 


 
 
 
 

 
 

 -->
 
 
 


 

-->
 
 
 Copyright © 2026 Examveda.com
 
 
 
 
 
 
 
 
 
 About Us |
 Terms & Condition |
 Privacy Policy |
 Contact Us",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=3,
Operating Systems,Operating System (Examveda),The memory which allocates space for DOS and application is called,Expanded memory,Cache memory,Virtual memory,Conventional memory,D,"In DOS memory management, conventional memory, also called base memory, is the first 640 kilobytes (640 × 1024 bytes) of the memory on IBM PC or compatible systems. It is the read-write memory directly addressable by the processor for use by the operating system and application programs.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=4,
Operating Systems,Operating System (Examveda),The operating system creates _____ from the physical computer,Virtual space,Virtual computers,Virtual device,None,B,"In computing, a virtual machine is an emulation of a computer system. Virtual machines are based on computer architectures and provide the functionality of a physical computer.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=4,
Operating Systems,Operating System (Examveda),Which menu bar selection would you access to open file?,Option,Help,View,None of above,D,,medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=4,
Operating Systems,Operating System (Examveda),Which mode loads minimal set of drivers when starting Windows?,Safe Mode,Normal Mode,VGA Mode,Network Support Mode,A,"Safe mode is a diagnostic mode of a computer operating system (OS). It can also refer to a mode of operation by application software. In Windows, safe mode only allows essential system programs and services to start up at boot. Safe mode is intended to help fix most, if not all problems within an operating system. It is also widely used for removing rogue security software.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=4,
Operating Systems,Operating System (Examveda),Which of the following are loaded in safe mode?,Keyboard driver,Mouse driver,VGA drive,All of above,D,"Safe mode is a diagnostic mode of a computer operating system (OS). It can also refer to a mode of operation by application software. Safe mode is intended to help fix most, if not all, problems within an operating system. It is also widely used for removing rogue security software. 
In safe mode, an operating system has reduced functionality, but the task of isolating problems is easier since many non-core components are disabled, such as sound, and many core components are enabled, such as keyboard drivers, mouse drivers, vga drivers, etc. An installation that will only boot into safe mode typically has a major problem, such as disk corruption or the installation of poorly-configured software that prevents the operating system from successfully booting into its normal operating mode. 
Safe mode typically provides access to utility and diagnostic programs so a user can troubleshoot what",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=4,
Operating Systems,Operating System (Examveda),A ....... is a named location on a disk where files are stored,Folder,Pod,Version,None of the above,A,"When talking about file systems, a folder (also called directory, or catalog) is a way to organize computer files. A folder is a storage space that many files can be placed into to group them together and organize the computer. A folder can also contain other folders.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=4,
Operating Systems,Operating System (Examveda),Which type of command requires additional files to perform specific operations?,Internal commands,External commands,Valuable commands,Primary commands,B,"External commands are predefined commands for end users. They are operating-system independent and are protected by authorizations, so that normal end users can schedule only those commands that the system administrator permits them to.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=4,
Operating Systems,Operating System (Examveda),Which of the following is system software?,Operating system,Compiler,Utilities,All of the above,D,"The operating system (OS) is the best-known example of system software. The OS manages all the other programs in a computer. According to some definitions, system software also includes system utilities, such as the disk defragmenter and System Restore, and development tools such as compilers and debuggers.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=4,
Operating Systems,Operating System (Examveda),A user-interface that is easy to use is considered to be,User-happy,User-simple,User-friendly,None of the above,C,"A GUI is considered to be more user-friendly than a text-based command-line interface, such as MS-DOS, or the shell of Unix-like operating systems. Unlike a command-line operating system or CUI, like UNIX or MS-DOS, GUI operating systems are easier to learn and use because commands do not need to be memorized.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=4,
Operating Systems,Operating System (Examveda),A ..... is a flash memory storage device that plugins into a USB port,USB snap drive,USB flash drive,USB memory maker drive,None of above,B,"A USB flash drive is a device used for data storage that includes a flash memory and an integrated Universal Serial Bus (USB) interface. Most USB flash drives are removable and rewritable. Physically, they are small, durable and reliable. 

 
 
 
 



 
 
 
 
 
 
 
 
 
 
 
 
 
1
2
3
4
5
6
7
8
9
10

 
 
 
 
 
 
 
 
 Read More Section(Operating System)
 Each Section contains maximum 100 MCQs question on Operating System. To get more questions visit other sections.
 
 Operating System - Section 2
 Operating System - Section 3
 Operating System - Section 4
 Operating System - Section 5
 Operating System - Section 6
 
 


 
 
 
 

 
 

 -->
 
 
 


 

-->
 
 
 Copyright © 2026 Examveda.com
 
 
 
 
 
 
 
 
 
 About Us |
 Terms & Condition |
 Privacy Policy |
 Contact Us",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=4,
Operating Systems,Operating System (Examveda),The ....... is the drive containing the files to be copied,Source drive,Destination drive,USB drive,None of the above,A,"The Source drive is the drive containing the files to be copied. Open source refers to the computer software or applications where the owners or copyright holders allow the users or third party to see, use and provide the right to modify the source code of the product. An Open-source Operating System is the Operating System in which source code is visible publically and editable.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=5,
Operating Systems,Operating System (Examveda),Which one of the following is not a multitasking operating system?,DOS,Windows,Unix,Linux,A,DOS is not a multitasking operating system. DOS did however provide a Terminate and Stay Resident (TSR) function which allowed programs to remain resident in memory.,medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=5,
Operating Systems,Operating System (Examveda),The most recent version of MAC OS is based on the ...... operating system,Windows,Linux,Unix,CMOS,C,"You may have heard that Macintosh OSX is just Linux with a prettier interface. That's not actually true. But OSX is built in part on an open source UNIX derivative called FreeBSD. It was built atop UNIX, the operating system originally created over 30 years ago by researchers at AT&T's Bell Labs.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=5,
Operating Systems,Operating System (Examveda),"In Windows, start button is used to",Run applications,Device setting,Turn off the system,All of above,D,"The Start button was first introduced with the release of Microsoft Windows 95 and has been featured in all releases of Windows since. The Start button allows users to access their run applications, device setting, turn off the system, computer programs or configure Microsoft Windows easily by accessing the Start Menu.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=5,
Operating Systems,Operating System (Examveda),Which one is true for unconditional disk formatting?,Destroys every byte of data on a disk by overwriting it with blank spaces,Do not check/scan surface after format,Transfer system files after format,All of above,A,"The correct answer is Option D: All of above. Each of the provided statements is true for unconditional disk formatting.

 Unconditional disk formatting, also known as a low-level format or full format, completely erases data on a disk by writing over every sector with zeroes or blank spaces. This process ensures that all data is removed from the disk, making it unrecoverable.

 Details for each option: 

 Option A: Destroys every byte of data on a disk by overwriting it with blank spaces is true because unconditional disk formatting writes zeroes or blank data to every sector of the disk, effectively erasing all existing data. 
 Option B: Do not check/scan surface after format is true as well because an unconditional format does not perform a surface scan to check for bad sectors; it only writes over the data. 
 Option C: Transfer system files after format is true in the sense that afte",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=5,
Operating Systems,Operating System (Examveda),"Once text has been cut to the clipboard, you can ...... that text into another document",Paste,Copy,Transfer,None of the above,A,"In your document, click where you want to paste the item. Do one of the following in the Clipboard: Click the down arrow next to the item you want to paste, and click Paste. To paste everything in the Clipboard to the selected area in your document, click Paste All.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=5,
Operating Systems,Operating System (Examveda),What is the function of radio button?,To select multiple option,To select single option,To select all option,All of above,B,A radio button or option button is a graphical control element that allows the user to choose only one of a predefined set of mutually exclusive options.,medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=5,
Operating Systems,Operating System (Examveda),The Banker's algorithm is used,to rectify deadlock,to detect deadlock,to prevent deadlock,to solve deadlock,C,"The Banker algorithm, sometimes referred to as the detection algorithm, is a resource allocation and deadlock avoidance algorithm developed by Edsger Dijkstra that tests for safety by simulating the allocation of predetermined maximum possible amounts of all resources, and then makes an ""s-state"" check to test for possible deadlock conditions for all other pending activities, before deciding whether allocation should be allowed to continue.
Source : wikipedia.org",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=5,
Operating Systems,Operating System (Examveda),The primary purpose of an operating system is:,To make the most efficient use of the computer hardware,To allow people to use the computer,To keep systems programmers employed,To make computers easier to use,A,"An operating system (OS) is system software that manages computer hardware and software resources and provides common services for computer programs. 
For hardware functions such as input and output and memory allocation, the operating system acts as an intermediary between programs and the computer hardware, although the application code is usually executed directly by the hardware and frequently makes system calls to an OS function or is interrupted by it.
Source : wikipedia.org",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=5,
Operating Systems,Operating System (Examveda),You can use print manage window,To check status of files in the print queue,To cancel the print job,To interrupt printing,All of the above,D,"Print Management is a snap-in in Microsoft Management Console (MMC) that enables you to install, view, and manage all of the printers in your organization from any computer running Windows Server. Print Management provides up-to-the-minute details about the status of printers and print servers on the network. 

 
 
 
 



 
 
 
 
 
 
 
 
 
 
 
 
 
1
2
3
4
5
6
7
8
9
10

 
 
 
 
 
 
 
 
 Read More Section(Operating System)
 Each Section contains maximum 100 MCQs question on Operating System. To get more questions visit other sections.
 
 Operating System - Section 2
 Operating System - Section 3
 Operating System - Section 4
 Operating System - Section 5
 Operating System - Section 6
 
 


 
 
 
 

 
 

 -->
 
 
 


 

-->
 
 
 Copyright © 2026 Examveda.com
 
 
 
 
 
 
 
 
 
 About Us |
 Terms & Condition |
 Privacy Policy |
 Contact Us",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=5,
Operating Systems,Operating System (Examveda),Which of the following operating system reads and reacts in actual time?,Quick Response System,Real Time System,Time Sharing System,Batch Processing System,B,"A real-time operating system (RTOS) is an operating system (OS) intended to serve real-time applications that process data as it comes in, typically without buffer delays. Processing time requirements (including any OS delay) are measured in tenths of seconds or shorter increments of time. A real time system is a time bound system which has well defined fixed time constraints.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=6,
Operating Systems,Operating System (Examveda),All of the following are TRUE regarding virtual memory EXCEPT,Any amount of RAM can be allocated to virtual memory,The setting for the amount of hard disk drive space to allocate virtual memory can be manually change,This temporary storage is called the swap file or page file,Virtual memory is the physical space o the hard drive,A,Any amount of RAM can be allocated to virtual memory. The setting for the amount of hard drive space to allocate to virtual memory can be manually changed. This temporary storage is called the swap file (or page file). Virtual memory is physical space on the hard drive.,medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=6,
Operating Systems,Operating System (Examveda),The essential difference between an operating system like Linux and one like Windows is that,"Windows can run with an Intel processor, whereas Linux cannot",Linux is a proprietary whereas Windows is not,"There are multiple versions of Linux, but only one version of Windows",Any programmer can modify Linux code which is not permitted with Windows,D,"The essential difference between an operating system like Linux and one like Windows is that. Windows can run with an Intel processor, whereas Linux cannot. Linux is proprietary, whereas Windows is not.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=6,
Operating Systems,Operating System (Examveda),What is dispatch latency?,The time taken by the dispatcher to stop one process and start another,The time taken by the processor to write a file into disk,The whole time taken by all processor,None of Above,A,The time taken by the dispatcher to stop one process and start another. The amount of time taken by the dispatcher to pause one process. and start another is called dispatch latency. The process of saving the state of a previously running process or thread. and loading the initial or previously saved state of a new process by the dispatcher. Dispatch latency is a time value.,medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=6,
Operating Systems,Operating System (Examveda),A page fault occurs when,the Deadlock happens,the Segmentation starts,the page is found in the memory,the page is not found in the memory,D,An interrupt that occurs when a program requests data that is not currently in real memory. The interrupt triggers the operating system to fetch the data from a virtual memory and load it into RAM. An invalid page fault or page fault error occurs when the operating system cannot find the data in virtual memory.,medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=6,
Operating Systems,Operating System (Examveda),Whenever you move a directory from one location to another,All files inside the directory are moved,All the subdirectory inside that directory are moved,The directory is moved the source file is not moved,Both A and B,D,All the files inside the directory and inside subdirectory are moved in that location.,medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=6,
Operating Systems,Operating System (Examveda),The Basic Input Output System (BIOS) resides in,RAM,ROM,The CPU,Memory Cache,B,"A computer's basic input/output system (BIOS) is a program that's stored in nonvolatile memory such as read-only memory (ROM) or flash memory, making it firmware. The BIOS (sometimes called ROM BIOS) is always the first program that executes when a computer is powered up.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=6,
Operating Systems,Operating System (Examveda),Which of the following does not occur during the power-on-self-test (POST)?,The ScanDisk utility begins to run,The video card and video memory are tested,The BIOS identification process occurs,Memory chip are checked to ensure that they are working properly,A,The ScanDisk utility begins to run. The video card and video memory are tested. The BIOS identification process occurs.,medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=6,
Operating Systems,Operating System (Examveda),The maximum size of a write file is limited to only,Name of the file,Extension of the file,The amount of memory in your computer,All of above,C,"The maximum size of a write file is limited to the amount of memory in your computer. Charles Babbage originated the concept of a programmable computer. In computers, a memory unit is used for the storage of data. Memory is mainly classified into Primary memory (RAM and ROM) and Secondary memory (hard drive, CD, etc.).",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=6,
